uniprot_id,data_split
Q04400,train/val
P84309,train/val
Q9NPC1,train/val
Q9JJL9,train/val
Q9BY41,train/val
Q8VH37,train/val
P02766,train/val
P00382,train/val
P30543,train/val
Q60613,train/val
P22735,train/val
P48448,train/val
P04629,train/val
Q9Y6D6,train/val
Q8WUA4,train/val
Q15404,train/val
Q9H974,train/val
Q8N4V1,train/val
Q8TEA8,train/val
Q9H814,train/val
Q8NE86,train/val
Q96EL2,train/val
B2RY04,train/val
Q9H7D0,train/val
F8W4B7,train/val
O00560,train/val
O08992,train/val
O08644,train/val
O15197,train/val
O09127,train/val
P29322,train/val
O89039,train/val
P25106,train/val
P11613,train/val
P56485,train/val
O94905,train/val
P07313,train/val
Q9NUA8,train/val
Q8IWT0,train/val
P52739,train/val
P31431,train/val
Q9H165,train/val
Q16594,train/val
Q6AI08,train/val
Q9H5Q4,train/val
P63313,train/val
P61962,train/val
Q9Y450,train/val
Q9H3K2,train/val
Q92917,train/val
Q99729,train/val
P09759,train/val
P54762,train/val
P54754,train/val
P54753,train/val
P54757,train/val
P54756,train/val
P54761,train/val
P54760,train/val
P55772,train/val
P97687,train/val
Q08J23,train/val
Q9H074,train/val
Q9Y2R5,train/val
Q9Y696,train/val
Q6NXT1,train/val
Q0IG34,train/val
Q15599,train/val
Q38JL0,train/val
Q61772,train/val
Q15375,train/val
Q62413,train/val
Q9UF33,train/val
Q679P4,train/val
F7CVL0,train/val
Q8TEK3,train/val
Q6UR05,train/val
P33527,train/val
Q96RD9,train/val
Q96L96,train/val
P35269,train/val
Q15428,train/val
Q92797,train/val
P43307,train/val
Q9HCK8,train/val
O75534,train/val
O95273,train/val
P15924,train/val
P63172,train/val
P84101,train/val
Q13625,train/val
Q149N8,train/val
Q15223,train/val
Q6ZS81,train/val
O00469,train/val
O43278,train/val
Q6UVM3,train/val
Q8CFW1,train/val
Q9NQ90,train/val
Q8NBS9,train/val
Q96GW9,train/val
Q9BRS8,train/val
Q9D3A9,train/val
Q9H3H5,train/val
P17987,train/val
P84103,train/val
Q9P2I0,train/val
Q9Y3B4,train/val
O95639,train/val
P35659,train/val
P78346,train/val
A0A144A134,train/val
Q86UE4,train/val
Q9Y3A2,train/val
P62495,train/val
Q12907,train/val
Q8NCH0,train/val
Q8TDB6,train/val
Q92520,train/val
Q96GA3,train/val
Q96MF7,train/val
Q9BQ15,train/val
Q13509,train/val
P68371,train/val
P12456,train/val
Q3KRE8,train/val
Q6B856,train/val
P04350,train/val
Q4QRB4,train/val
P07437,train/val
Q13885,train/val
Q9BVA1,train/val
Q9BUF5,train/val
P99024,train/val
A2AMW3,train/val
Q9UIK4,train/val
O14974,train/val
Q10728,train/val
Q62986,train/val
O08537,train/val
Q9NRA0,train/val
P23280,train/val
P20789,train/val
O88319,train/val
Q96KS0,train/val
Q9UKQ9,train/val
Q9UBX7,train/val
Q5NCH9,train/val
P35349,train/val
O15303,train/val
P53582,train/val
P10633,train/val
P0DUB6,train/val
P04746,train/val
P19961,train/val
Q92667,train/val
Q64133,train/val
P21396,train/val
P56199,train/val
Q13002,train/val
P42260,train/val
B9V8S1,train/val
Q13003,train/val
P42264,train/val
P22792,train/val
O54814,train/val
P51678,train/val
P00939,train/val
P60174,train/val
P48500,train/val
P31697,train/val
P70263,train/val
Q9NPA1,train/val
Q9UQB9,train/val
Q9UUZ4,train/val
P36196,train/val
O97972,train/val
P0AFB8,train/val
P07639,train/val
O95718,train/val
P19490,train/val
P23818,train/val
P42261,train/val
Q63207,train/val
Q6AYQ3,train/val
P18088,train/val
P48319,train/val
Q99259,train/val
Q9H3N8,train/val
Q9HCG7,train/val
P15145,train/val
P29276,train/val
Q60614,train/val
P30419,train/val
O70310,train/val
P34960,train/val
P41743,train/val
A0A8I3PGG6,train/val
Q9Y0I0,train/val
P37059,train/val
Q6VNS1,train/val
Q16288,train/val
P23336,train/val
P06240,train/val
P06239,train/val
P10634,train/val
Q04844,train/val
Q64541,train/val
O15547,train/val
P15348,train/val
P00560,train/val
Q01196,train/val
O75716,train/val
O30412,train/val
Q9P212,train/val
P00326,train/val
P07327,train/val
P00325,train/val
F6VR90,train/val
O96526,train/val
W7JX98,train/val
Q8IBS5,train/val
Q25856,train/val
Q8IKU0,train/val
P80035,train/val
P54317,train/val
P81139,train/val
Q3B792,train/val
P16435,train/val
P37040,train/val
P00388,train/val
Q9NYQ3,train/val
Q6S996,train/val
Q9UBM7,train/val
O95551,train/val
Q9RET4,train/val
Q04707,train/val
Q4FZB7,train/val
Q9IF40,train/val
P24024,train/val
Q18CI5,train/val
Q18CF1,train/val
Q18CF3,train/val
Q182S6,train/val
H9U2W0,train/val
H9U2W1,train/val
E0W492,train/val
E0VY07,train/val
E0V9W2,train/val
Q8CPY8,train/val
P29460,train/val
P29459,train/val
P0A800,train/val
Q03284,train/val
P52505,train/val
Q13751,train/val
A4D0S4,train/val
P11047,train/val
Q13753,train/val
Q9Y6N6,train/val
P02458,train/val
P02461,train/val
P02462,train/val
P08503,train/val
P45953,train/val
Q60597,train/val
Q02218,train/val
P10860,train/val
P00366,train/val
P04636,train/val
P00346,train/val
P40926,train/val
P15650,train/val
Q99028,train/val
Q6DE08,train/val
Q6GPL3,train/val
O60602,train/val
P39050,train/val
A4HSF7,train/val
Q9Z1T6,train/val
Q9Y2I7,train/val
Q2NL51,train/val
P18265,train/val
I6LNT8,train/val
P49840,train/val
Q5JZY3,train/val
Q9UGI9,train/val
O14561,train/val
O15239,train/val
O43676,train/val
O43677,train/val
O43678,train/val
O43920,train/val
O75251,train/val
O75380,train/val
O75438,train/val
O75489,train/val
O95167,train/val
O95168,train/val
O95169,train/val
O95178,train/val
O95182,train/val
O95298,train/val
O96000,train/val
P19404,train/val
P28331,train/val
P49821,train/val
P25708,train/val
P56181,train/val
Q16718,train/val
Q16795,train/val
Q8N183,train/val
Q9BU61,train/val
Q9NRX3,train/val
Q9NX14,train/val
Q9P032,train/val
Q9P0J0,train/val
Q9UI09,train/val
Q9Y375,train/val
E0VSD4,train/val
E0VRD2,train/val
E0W389,train/val
P09688,train/val
P69720,train/val
P97377,train/val
Q13261,train/val
Q6W2J9,train/val
Q9JMH7,train/val
Q04917,train/val
Q9Y6Q6,train/val
O95466,train/val
Q8CIG8,train/val
O14744,train/val
Q08AM6,train/val
Q80WQ2,train/val
P50859,train/val
B7V7R4,train/val
Q5JRS4,train/val
Q96TA1,train/val
Q13442,train/val
P62328,train/val
Q7KZN9,train/val
Q9NUQ6,train/val
Q14139,train/val
Q8TB72,train/val
Q14728,train/val
Q969L2,train/val
Q9NX58,train/val
Q9UHA2,train/val
Q9C037,train/val
Q27J81,train/val
Q9Y2Q9,train/val
Q2VIR3,train/val
P41091,train/val
O43930,train/val
P51817,train/val
O94903,train/val
A0A0H2ZNE0,train/val
A0A3N3ZFK4,train/val
P67578,train/val
Q8NY00,train/val
O14579,train/val
O00461,train/val
O00330,train/val
Q16698,train/val
Q13618,train/val
P11171,train/val
P10155,train/val
P08758,train/val
P81287,train/val
P06703,train/val
Q9UKX7,train/val
Q9BXK5,train/val
Q9UI12,train/val
Q8TDN4,train/val
Q08380,train/val
Q9Y3B9,train/val
Q9H061,train/val
P29590,train/val
P28328,train/val
P54802,train/val
Q02809,train/val
Q3T9M1,train/val
Q5BJH7,train/val
Q5T1V6,train/val
Q62073,train/val
O43318,train/val
Q6N043,train/val
B6CHA3,train/val
O00470,train/val
O14874,train/val
O35344,train/val
O00505,train/val
O35936,train/val
O43151,train/val
Q9NTI5,train/val
Q6ZXV5,train/val
O55091,train/val
Q86W50,train/val
Q8IUF8,train/val
Q8IX18,train/val
Q92540,train/val
Q92990,train/val
Q96MN2,train/val
Q99958,train/val
O55106,train/val
O55176,train/val
O88634,train/val
O88738,train/val
O88939,train/val
O95166,train/val
O95785,train/val
P08034,train/val
Q8VHL1,train/val
Q8WTS6,train/val
Q13485,train/val
P61619,train/val
Q99613,train/val
Q92564,train/val
Q92583,train/val
Q92597,train/val
Q9P275,train/val
Q9P2H5,train/val
Q9UBU8,train/val
Q9UL19,train/val
Q9Y5T5,train/val
P03129,train/val
P06463,train/val
Q46085,train/val
P05824,train/val
P0A7C2,train/val
O31048,train/val
O66465,train/val
P00729,train/val
P02979,train/val
P13956,train/val
P03522,train/val
P07813,train/val
P08400,train/val
P0A0H2,train/val
P0A8L1,train/val
P0ABZ6,train/val
P0AEX9,train/val
P0AGJ9,train/val
P32119,train/val
P32929,train/val
P33121,train/val
P34897,train/val
P35221,train/val
P26231,train/val
P35226,train/val
P36404,train/val
P36542,train/val
P05631,train/val
P36955,train/val
P36969,train/val
O70325,train/val
P37235,train/val
P38606,train/val
Q92888,train/val
Q94661,train/val
Q969T7,train/val
Q96AE4,train/val
Q96C36,train/val
Q96F24,train/val
Q96J02,train/val
Q96JB6,train/val
Q92688,train/val
P14779,train/val
P30822,train/val
P9WPC9,train/val
Q15326,train/val
Q30W70,train/val
Q64676,train/val
Q16880,train/val
P0C691,train/val
P21889,train/val
P22262,train/val
P24173,train/val
P25043,train/val
P38624,train/val
P54493,train/val
P60472,train/val
P60932,train/val
P75906,train/val
P9WHQ9,train/val
P9WI83,train/val
P9WKI7,train/val
P38646,train/val
P39687,train/val
P40939,train/val
P42566,train/val
P42568,train/val
P42704,train/val
P46940,train/val
P47756,train/val
Q96QZ7,train/val
Q99323,train/val
Q99439,train/val
Q9BPW8,train/val
Q9BQ69,train/val
Q9BRA2,train/val
Q9BSD7,train/val
Q9BTE7,train/val
Q9BY44,train/val
Q969A8,train/val
Q99MT6,train/val
Q9BYX4,train/val
Q9H0M4,train/val
P0C0W8,train/val
Q6DWJ6,train/val
Q8BWD8,train/val
Q9BWU1,train/val
Q9NQV5,train/val
A0A8I3MM39,train/val
P62813,train/val
P14867,train/val
P08219,train/val
P62812,train/val
P9WKK6,train/val
P9WKK7,train/val
P9WPW9,train/val
Q03228,train/val
Q07307,train/val
Q07599,train/val
Q26710,train/val
Q2FXH2,train/val
Q2G140,train/val
Q2G2U1,train/val
Q2L8D9,train/val
P48507,train/val
P48643,train/val
P48731,train/val
P48740,train/val
P49117,train/val
P49116,train/val
P49290,train/val
P49406,train/val
P49755,train/val
P49916,train/val
P50552,train/val
P50990,train/val
P51398,train/val
Q9C0C2,train/val
Q9C0C9,train/val
Q9H3N1,train/val
Q9H4M9,train/val
Q9H5X1,train/val
Q9H853,train/val
Q9H857,train/val
Q9H910,train/val
Q9HA64,train/val
Q9HB71,train/val
Q9HBI6,train/val
A0A8I3S9L5,train/val
A0A8C0Q209,train/val
P30191,train/val
P16305,train/val
Q16445,train/val
Q54727,train/val
Q6A2E2,train/val
Q6FRS9,train/val
Q6G7I0,train/val
Q6PWL6,train/val
O14684,train/val
P51571,train/val
P51572,train/val
P51648,train/val
P52815,train/val
P52907,train/val
P53618,train/val
P53690,train/val
P50281,train/val
P54886,train/val
P59215,train/val
P09471,train/val
P61011,train/val
P61081,train/val
P62166,train/val
P67936,train/val
P98179,train/val
P9WP37,train/val
Q9HBK9,train/val
Q9HC38,train/val
Q9HD64,train/val
Q9LL79,train/val
Q9NPJ3,train/val
Q9NQ88,train/val
Q9NQY0,train/val
Q9NR31,train/val
Q9NR50,train/val
Q9NVJ2,train/val
Q9NX46,train/val
Q9NY64,train/val
Q9NYJ8,train/val
Q3URK3,train/val
Q9NRN9,train/val
P35637,train/val
Q9H479,train/val
Q14331,train/val
Q96CW5,train/val
Q9BSJ2,train/val
Q5D862,train/val
Q8NEZ5,train/val
Q8TEQ6,train/val
Q6XV28,train/val
Q81VX4,train/val
Q8DP63,train/val
Q8E1K8,train/val
Q8IKG4,train/val
Q70CQ3,train/val
Q71RJ2,train/val
Q9Y698,train/val
Q6PBT4,train/val
T1VXA1,train/val
Q13433,train/val
P0DTD1,train/val
P31352,train/val
Q16553,train/val
O43734,train/val
Q02223,train/val
Q9BPX1,train/val
P12272,train/val
P41217,train/val
Q9Z286,train/val
P9WNX5,train/val
A0A3F3IEK2,train/val
A0A510WMC0,train/val
Q13421,train/val
Q5ZPR3,train/val
P11049,train/val
P06731,train/val
Q9NNW5,train/val
Q9UNX4,train/val
Q13428,train/val
P17813,train/val
P17643,train/val
Q13813,train/val
P06127,train/val
Q7LBE3,train/val
Q7RTR8,train/val
Q7T2L8,train/val
Q7Z2E3,train/val
Q7Z434,train/val
Q7Z4V5,train/val
Q7Z7B1,train/val
Q80UM7,train/val
Q84406,train/val
Q869D7,train/val
Q9J3N5,train/val
Q8IWT3,train/val
Q96PV6,train/val
Q9BZK7,train/val
Q13617,train/val
A0A8D1VEY7,train/val
G1U3D6,train/val
H0VJD1,train/val
P9WPZ3,train/val
B9J3S4,train/val
D3ZAU7,train/val
Q5TCY1,train/val
E8MGH8,train/val
E9Q6R7,train/val
O42781,train/val
P06672,train/val
P0A7B5,train/val
P62995,train/val
Q9H5V9,train/val
P49458,train/val
P50452,train/val
P18583,train/val
Q01082,train/val
Q96GM5,train/val
Q6GMV2,train/val
Q96P63,train/val
P48595,train/val
Q7Z7L1,train/val
Q13573,train/val
P40879,train/val
A6NHR9,train/val
Q8TAQ2,train/val
P0DG04,train/val
P0DG02,train/val
P0DG06,train/val
A0A0H2UU62,train/val
Q86SR1,train/val
Q86UL3,train/val
Q86UY6,train/val
Q86V67,train/val
P27815,train/val
Q8VBU5,train/val
P14646,train/val
Q07343,train/val
Q01063,train/val
P14270,train/val
Q08499,train/val
Q08493,train/val
P54748,train/val
O89084,train/val
Q86W10,train/val
Q86W47,train/val
Q9ESK8,train/val
Q86WV7,train/val
O15068,train/val
P00505,train/val
P00507,train/val
P05202,train/val
P11801,train/val
P27808,train/val
P30904,train/val
P14174,train/val
P34884,train/val
P05112,train/val
Q9NQC3,train/val
P18827,train/val
P23510,train/val
P29279,train/val
P10600,train/val
P0AFS3,train/val
P05013,train/val
P32881,train/val
P0DMS9,train/val
P0DTC9,train/val
P14789,train/val
P45272,train/val
P32970,train/val
O43557,train/val
Q9GZX6,train/val
Q9NR61,train/val
P69913,train/val
P95160,train/val
P95200,train/val
P53999,train/val
Q01081,train/val
Q96GM8,train/val
Q9HBM6,train/val
Q2TAY7,train/val
Q92973,train/val
P12270,train/val
F6ZDS4,train/val
Q12789,train/val
Q9Y285,train/val
Q9NZ01,train/val
Q8IYB3,train/val
Q52KI8,train/val
Q99832,train/val
Q9QAB7,train/val
P13984,train/val
Q53T94,train/val
P37108,train/val
Q8BJ37,train/val
Q8BZ21,train/val
Q8C6L5,train/val
Q8CDB0,train/val
Q9HBH9,train/val
Q873N2,train/val
Q8CIM5,train/val
Q8CIP4,train/val
Q96L34,train/val
Q8CIW6,train/val
Q8I3X4,train/val
Q8T9Z7,train/val
Q8IAS0,train/val
Q8IHZ9,train/val
P35524,train/val
Q00954,train/val
Q07699,train/val
P97952,train/val
Q07890,train/val
Q96RU8,train/val
Q9GZU1,train/val
Q9WU09,train/val
O46404,train/val
Q92569,train/val
P9WFW3,train/val
P9WFT3,train/val
P9WGU9,train/val
P9WNU7,train/val
Q04IN8,train/val
P0C2J9,train/val
Q48485,train/val
Q7N561,train/val
Q81BJ6,train/val
Q8ILG2,train/val
Q8ITU9,train/val
Q8NQE1,train/val
Q8XEY9,train/val
P16659,train/val
Q9HWG9,train/val
Q9I5U5,train/val
P37798,train/val
P41181,train/val
P42232,train/val
P42230,train/val
P42229,train/val
P51692,train/val
P42701,train/val
P43680,train/val
P46091,train/val
P46939,train/val
P48436,train/val
P49591,train/val
Q8IUC8,train/val
Q8IZD2,train/val
Q8K4B4,train/val
Q8N371,train/val
Q14956,train/val
P22301,train/val
Q8N539,train/val
Q8N543,train/val
Q8N5K1,train/val
P32657,train/val
Q9UHE8,train/val
Q99795,train/val
Q96NY8,train/val
Q969D9,train/val
P15248,train/val
P9WNZ1,train/val
Q13641,train/val
Q9H4Q3,train/val
P01569,train/val
P49711,train/val
P51124,train/val
P50130,train/val
P21728,train/val
Q95136,train/val
P18901,train/val
Q61616,train/val
P70597,train/val
P35375,train/val
Q07010,train/val
Q820T1,train/val
Q9Y5Y4,train/val
Q8IU85,train/val
P61088,train/val
P61160,train/val
P61823,train/val
P62157,train/val
P0DP23,train/val
P0DP26,train/val
P0DP24,train/val
O46391,train/val
P63000,train/val
P60763,train/val
P63001,train/val
P15153,train/val
Q05144,train/val
Q9H2K8,train/val
Q9H3Y6,train/val
Q9H5J4,train/val
Q920L5,train/val
Q9H6Z9,train/val
Q9H9Q2,train/val
Q9HAS3,train/val
P00530,train/val
P00593,train/val
P00639,train/val
P00640,train/val
P0A4L9,train/val
Q7X1P7,train/val
Q59961,train/val
A0A0H2UPP7,train/val
Q9FBC5,train/val
P50591,train/val
P51659,train/val
P51686,train/val
P51691,train/val
P09848,train/val
Q12931,train/val
Q8WTQ7,train/val
Q6PSM0,train/val
P21447,train/val
P54283,train/val
Q02641,train/val
Q9BT73,train/val
Q9NUW8,train/val
O76021,train/val
P22732,train/val
P62805,train/val
P07686,train/val
O60760,train/val
P60568,train/val
P01308,train/val
P06465,train/val
Q9Y2P5,train/val
P46549,train/val
Q8TD08,train/val
Q02858,train/val
Q02763,train/val
O14843,train/val
P33316,train/val
Q99N13,train/val
Q9UKV0,train/val
Q86UX6,train/val
Q86X55,train/val
Q9WVG6,train/val
Q8TDU6,train/val
Q969F8,train/val
O43246,train/val
P48357,train/val
Q9Y2U5,train/val
P33908,train/val
Q14703,train/val
Q99836,train/val
Q9UK23,train/val
Q9IH62,train/val
Q8N118,train/val
O42778,train/val
P51957,train/val
P02980,train/val
P40231,train/val
O32449,train/val
Q93QD4,train/val
P09616,train/val
Q4U2W2,train/val
O88942,train/val
O89049,train/val
Q16881,train/val
Q9JMH6,train/val
P25051,train/val
Q9Y3S1,train/val
O15460,train/val
Q8NER5,train/val
Q9AQH7,train/val
P0CY28,train/val
Q2NNR5,train/val
P25089,train/val
Q925I4,train/val
P06787,train/val
C7C422,train/val
E5KIY2,train/val
H6WZS9,train/val
Q9UNE0,train/val
Q15393,train/val
Q16690,train/val
Q16828,train/val
Q64346,train/val
Q9UL62,train/val
Q8VD38,train/val
Q9QX29,train/val
P55957,train/val
P06865,train/val
O60331,train/val
Q9NRH2,train/val
P9WI81,train/val
O75496,train/val
P46154,train/val
O00562,train/val
P07355,train/val
P04272,train/val
A6NMY6,train/val
P60903,train/val
P27694,train/val
O95147,train/val
Q9UHJ3,train/val
Q86YI8,train/val
O95931,train/val
O88446,train/val
Q9WTW5,train/val
P9WMR3,train/val
P83916,train/val
P9WKG5,train/val
P26281,train/val
P05804,train/val
P77488,train/val
B7UJP3,train/val
B5Y0X1,train/val
P09372,train/val
P0A6C1,train/val
P11940,train/val
P0CY54,train/val
P25440,train/val
P16109,train/val
Q5S006,train/val
O15121,train/val
Q2M1P5,train/val
Q96Q89,train/val
A0A0D9R315,train/val
O95235,train/val
Q16236,train/val
P07342,train/val
O53585,train/val
P97793,train/val
P98161,train/val
Q56D28,train/val
Q45614,train/val
Q2KJ64,train/val
P05089,train/val
A3RLP8,train/val
A4KCT8,train/val
P10844,train/val
Q0SRB6,train/val
P11838,train/val
Q01583,train/val
Q5VLE3,train/val
Q6XUX3,train/val
P9WG57,train/val
P9WFR9,train/val
P0C5S6,train/val
D3W065,train/val
P57058,train/val
O95631,train/val
P80188,train/val
P10451,train/val
O15439,train/val
P12821,train/val
P34972,train/val
P34995,train/val
Q13547,train/val
Q4QQW4,train/val
O09106,train/val
P56517,train/val
P16233,train/val
P32239,train/val
P79266,train/val
P02918,train/val
P02919,train/val
P02671,train/val
P30988,train/val
P30556,train/val
P25104,train/val
P29089,train/val
P25095,train/val
P34976,train/val
P29754,train/val
P30555,train/val
Q9WV26,train/val
P41595,train/val
P01854,train/val
P24557,train/val
P39051,train/val
P54219,train/val
P07202,train/val
P20138,train/val
P20711,train/val
P08514,train/val
P07333,train/val
P08684,train/val
P21918,train/val
P22680,train/val
P30542,train/val
P25099,train/val
Q60612,train/val
P34970,train/val
P28190,train/val
P47745,train/val
P31391,train/val
P22888,train/val
P31213,train/val
P0AEK4,train/val
P0AEB2,train/val
P19235,train/val
O95163,train/val
Q9TZR3,train/val
P04626,train/val
P35367,train/val
P01375,train/val
P09884,train/val
O15379,train/val
Q6P6W3,train/val
O88895,train/val
P56520,train/val
P25105,train/val
O95180,train/val
P10827,train/val
P63059,train/val
P32754,train/val
P21554,train/val
P47746,train/val
P20272,train/val
P21917,train/val
P38631,train/val
P40238,train/val
Q9UBN7,train/val
P43098,train/val
P43116,train/val
Q25035,train/val
P17181,train/val
P32476,train/val
P37288,train/val
P38484,train/val
Q04609,train/val
Q05940,train/val
Q27963,train/val
Q01827,train/val
Q8BRU6,train/val
P0AFI2,train/val
Q7LG56,train/val
Q92206,train/val
P28222,train/val
P49144,train/val
Q9N2B7,train/val
P28564,train/val
P46636,train/val
P28334,train/val
P79399,train/val
P07550,train/val
P46098,train/val
P15121,train/val
P07306,train/val
P03923,train/val
P15085,train/val
O95299,train/val
O00217,train/val
P03901,train/val
P08559,train/val
P26284,train/val
P29804,train/val
P30277,train/val
P51575,train/val
P07947,train/val
O43451,train/val
P23284,train/val
O15178,train/val
O75531,train/val
A0A3L7HHY4,train/val
Q2MDQ0,train/val
Q6MGC4,train/val
O15212,train/val
Q5R387,train/val
Q15633,train/val
P07288,train/val
O13383,train/val
O13428,train/val
B6S6L8,train/val
P23763,train/val
P06729,train/val
Q14432,train/val
P07949,train/val
F5BCZ9,train/val
P0A7Y8,train/val
P02675,train/val
Q14626,train/val
Q03013,train/val
Q8CJF4,train/val
P56556,train/val
Q99571,train/val
Q6QHF9,train/val
O60563,train/val
P56389,train/val
P03886,train/val
P03892,train/val
P25975,train/val
P49892,train/val
P19801,train/val
P08217,train/val
P05230,train/val
Q6Q253,train/val
P38918,train/val
P00689,train/val
P70596,train/val
P32245,train/val
P56450,train/val
Q01818,train/val
Q29450,train/val
Q9Z2V5,train/val
P26770,train/val
Q91WF3,train/val
Q8NFM4,train/val
O95363,train/val
Q14571,train/val
P29995,train/val
Q9Z329,train/val
Q8WN96,train/val
P20786,train/val
P16234,train/val
P26618,train/val
O95665,train/val
P03891,train/val
Q9UBX1,train/val
P23467,train/val
O66127,train/val
Q16584,train/val
Q80XI6,train/val
P52790,train/val
P17164,train/val
Q62865,train/val
P23439,train/val
P35913,train/val
P00791,train/val
P69905,train/val
Q9Y2R2,train/val
P48760,train/val
P83888,train/val
P47747,train/val
O96020,train/val
Q91XQ4,train/val
Q9Y345,train/val
P58295,train/val
P11799,train/val
P11151,train/val
P19785,train/val
P06211,train/val
P05362,train/val
P40146,train/val
P40145,train/val
P97490,train/val
P31939,train/val
Q9CWJ9,train/val
Q8TET4,train/val
P16278,train/val
P06280,train/val
Q9Y5Z0,train/val
Q01662,train/val
O96017,train/val
P70579,train/val
P47743,train/val
O00222,train/val
P27824,train/val
P19099,train/val
P15538,train/val
P30306,train/val
P05364,train/val
Q99519,train/val
P31596,train/val
P43004,train/val
P00381,train/val
P16050,train/val
Q93ZN9,train/val
Q03391,train/val
Q62645,train/val
O15399,train/val
P38158,train/val
P53341,train/val
P07265,train/val
P0CW40,train/val
P53051,train/val
P0CW41,train/val
P77173,train/val
P08648,train/val
Q16654,train/val
O54937,train/val
O70571,train/val
P21802,train/val
P21803,train/val
Q63415,train/val
Q95334,train/val
P04156,train/val
P23907,train/val
Q9H239,train/val
Q13232,train/val
P15382,train/val
P40313,train/val
P40935,train/val
P30520,train/val
P46664,train/val
P18564,train/val
P50391,train/val
Q16678,train/val
P12104,train/val
P30837,train/val
P11177,train/val
P9WNS3,train/val
P0A6I3,train/val
P0C1S8,train/val
P0A031,train/val
Q13464,train/val
Q63644,train/val
P07896,train/val
P25054,train/val
P08631,train/val
P24008,train/val
P0AE18,train/val
P47898,train/val
Q99P50,train/val
O08725,train/val
Q95254,train/val
Q92847,train/val
A5A4K9,train/val
M3WES4,train/val
Q4FZV0,train/val
Q9P2W7,train/val
P23946,train/val
P08311,train/val
P07858,train/val
P09237,train/val
P12822,train/val
Q01727,train/val
P17256,train/val
Q96LZ3,train/val
P13721,train/val
Q5BJR8,train/val
P48443,train/val
P28705,train/val
Q9BZM2,train/val
Q9UNK4,train/val
P52657,train/val
P63151,train/val
P21673,train/val
P48026,train/val
P01161,train/val
P22273,train/val
P43367,train/val
Q27971,train/val
P17655,train/val
Q99487,train/val
Q9ULK4,train/val
O75387,train/val
Q965D5,train/val
Q9BJJ9,train/val
Q9BH77,train/val
Q07014,train/val
P25911,train/val
P07948,train/val
P42681,train/val
P20311,train/val
P18417,train/val
P16662,train/val
P16098,train/val
P15917,train/val
P70627,train/val
Q16719,train/val
P18440,train/val
O35433,train/val
Q704Y3,train/val
Q969S8,train/val
Q9BRC7,train/val
Q836J0,train/val
O75385,train/val
P41586,train/val
P41738,train/val
P42226,train/val
Q86UE8,train/val
Q92178,train/val
P43406,train/val
P06756,train/val
Q81RP3,train/val
P35573,train/val
P35574,train/val
Q13972,train/val
Q14807,train/val
B9W4V6,train/val
C3SJS7,train/val
O00182,train/val
Q6DKI2,train/val
O00214,train/val
O00254,train/val
P13738,train/val
P14210,train/val
P14222,train/val
P14422,train/val
P49238,train/val
P21589,train/val
P19652,train/val
P02763,train/val
P01011,train/val
Q8VD48,train/val
P23457,train/val
